SKU;Produto;EAN;EH 1º Nível;Preço (R$);EH 3º Nível;EH 2º Nível;Estoque;Ruptura (R$)
90688;SANDUICHE SEARA 145G. HOT HIT BACON;7894904678341;PERECIVEIS;8.79;CONGELADOS;P.A.S.;30.000;263.70
2583;AMENDOIM DACOLONIA 140G CRI CRI ESP;7896181700579;MERCEARIA;4.89;BOMBONIERE;SECA DOCE;53.000;259.17
8609;MASSA BARILLA 500G G D CAPELLINNI;8076800195019;MERCEARIA;14.99;MASSAS SECAS;SECA SALGADA;17.000;254.83
3097;PAO QUEIJO SEARA 400G TURMA MONICA;7894904597840;PERECIVEIS;10.40;CONGELADOS;P.A.S.;24.000;249.60
93285;PAO SABOR FRANCE 410G BAGUET CEREAL PRE ASSADO CON;7896412804038;PERECIVEIS;14.59;CONGELADOS;P.A.S.;17.000;248.03
69695;MARIOLA ORG GUIMARAES 150G;7896775100433;MERCEARIA;12.20;BOMBONIERE;SECA DOCE;20.000;244.00
71936;KIT BARBA HEDERA SHAMP CERA SAB;7898556126144;MERCEARIA;39.90;CUIDADO COM CABELO;PERFUMARIA;6.000;239.40
46499;WHISKY JACK DANIELS 375ML;82184081792;MERCEARIA;58.90;ALCOOLICOS;LIQUIDA;4.000;235.60
1392;POMADA NEEZ 40G FINALIZ SEMI LINO;7898378620356;MERCEARIA;17.99;CUIDADO COM CABELO;PERFUMARIA;13.000;233.87
63445;BIFE EMPANADO PERDIGAO 100G RECH;7891515474133;PERECIVEIS;5.49;CONGELADOS;P.A.S.;38.000;208.62
4654;PRENDEDOR ROUPA FEST ALL C/12;7896965702997;BAZAR;4.29;ARRUMACAO;ARRUMACAO E FVM;48.000;205.92
38568;SUCO GARIBALDI 1,5L INT UVA TINTO;7896034300819;MERCEARIA;14.99;NAO ALCOOLICOS;LIQUIDA;13.000;194.87
87250;MASSA ALMERINDA 500G GNOCCHI;751320536785;MERCEARIA;7.99;MASSAS SECAS;SECA SALGADA;24.000;191.76
61219;KIT FEIJOADA FRICASA 500G;7897177451529;PERECIVEIS;30.90;FRIOS COMPLEMENTAR;P.A.S.;6.000;185.40
98816;WHEY PIRACANJUBA 250ML ZR *BATATA DOC;7898215157519;MERCEARIA;7.99;CEREAIS E SAUDAVEIS;SECA DOCE;23.000;183.77
85057;LING GOSHEN 300G VEGGES SOJA APIMENTADA;7898945009409;PERECIVEIS;29.90;CONGELADOS;P.A.S.;6.000;179.40
105165;VINHO MAGICO 750ML PORT FINO ROSE;5601174423203;MERCEARIA;29.90;VINHOS;LIQUIDA;6.000;179.40
41137;SORVETE NESTLE 1,5L SENSACAO;7891000106921;PERECIVEIS;26.90;CONGELADOS;P.A.S.;6.000;161.40
104698;PAO QUEIJO SEARA 300G GOURM TRAD;7894904270071;PERECIVEIS;13.19;CONGELADOS;P.A.S.;12.000;158.28
71938;POMADA HEDERA 150G MODEL BARBA/BIGODE;7898556125475;MERCEARIA;25.99;CUIDADO COM ROSTO;PERFUMARIA;6.000;155.94
104464;BEBIDA ENERGETICA BALY 2L GALAXIAS MOR/PESSEGO;7898080665010;MERCEARIA;11.99;NAO ALCOOLICOS;LIQUIDA;13.000;155.87
93287;PAO SABOR FRANCE 410G MINI RUSTICO PRE ASSADO CONG;7896412804069;PERECIVEIS;13.59;CONGELADOS;P.A.S.;11.000;149.49
83884;VINHO CEPAS PRIVADA 750ML ARG MALB;7791540046575;MERCEARIA;24.90;VINHOS;LIQUIDA;6.000;149.40
88716;ALFACE HID MIMOSA D'AGUA UN;7898950173041;PERECIVEIS;4.29;FOLHAGENS E PROCESS;FLV;34.000;145.86
88500;BALA ARCOR 100G BUTTER TOFFEES CHOKKO;7891118015306;MERCEARIA;4.99;BOMBONIERE;SECA DOCE;29.000;144.71
36693;BISC ORQUIDEA 130G TORTISSIMAS CHOC;7896412802454;MERCEARIA;2.79;BISCOITOS;SECA DOCE;51.000;142.29
98296;COGUMELO FUNGI 200G SHIMEJI;7898994940630;PERECIVEIS;19.69;FOLHAGENS E PROCESS;FLV;7.000;137.83
93052;COGUMELO FUNGI 400G NATURA PORTOBELLO;7898994893547;PERECIVEIS;33.90;FOLHAGENS E PROCESS;FLV;4.000;135.60
78788;ACENDEDOR ZEPPELIN 440G GEL 80 INPM;7896474600425;BAZAR;11.29;CHURRASCO ACENDEDOR;CASA;12.000;135.48
58661;SUCO PETRY 2,5L LARAN;7896802200112;MERCEARIA;26.90;NAO ALCOOLICOS;LIQUIDA;5.000;134.50
42991;SORVETE SORVEBOM 1L ZR LACT CREME;7898038713183;PERECIVEIS;26.90;CONGELADOS;P.A.S.;5.000;134.50
94331;CHOC NESTLE 29G COELHO KITKAT;7891000301609;MERCEARIA;5.49;SAZONAIS;SECA DOCE;24.000;131.76
103752;AMACIANTE DOWNY 1L CONC BRISA INTENSO;7500435201285;MERCEARIA;32.90;LIMPEZA ROUPA;LIMPEZA E DESCARTAVEIS;4.000;131.60
78332;POLENTA DEGLI AMICI 500G CONG;7896691700335;PERECIVEIS;7.99;CONGELADOS;P.A.S.;16.000;127.84
11846;CHOC KINDER 43G BUENO;80052760;MERCEARIA;7.99;BOMBONIERE;SECA DOCE;16.000;127.84
2590;PACOCA DACOLONIA 170G ROLHA LIGHT;7896181707240;MERCEARIA;12.59;BOMBONIERE;SECA DOCE;10.000;125.90
85400;SORVETE KIBON 800ML PT TABLITO;7891150061057;PERECIVEIS;29.90;CONGELADOS;P.A.S.;4.000;119.60
106061;PICOLE KIBON 40G TDM CHOCORANGO;7891150088764;PERECIVEIS;5.39;CONGELADOS;P.A.S.;21.000;113.19
105835;MASSA ROMENA 150G PIZZA;7896249500127;PERECIVEIS;5.39;LATICINIOS E MASSAS;P.A.S.;21.000;113.19
106241;FILE SALMAO FRUMAR KG C/PELE CONG;13286;PERECIVEIS;109.90;PEIXES;PEIXARIA;1.000;109.90
72316;AUROGGETS AURORA 300G;7891164110017;PERECIVEIS;11.99;CONGELADOS;P.A.S.;9.000;107.91
78315;PAO WICKBOLD 300G TURMA MONICA INT BISNAG;7896066302102;PERECIVEIS;9.19;PADARIA INDUSTRIALIZADOS;PADARIA;11.000;101.09
4766;PIMENTA PRIMARE 25G BRANCA PO TB;7898399529225;MERCEARIA;7.49;MERCEARIA COMPLEMENTAR;SECA SALGADA;13.000;97.37
55659;PAO AMALFI 350G FITPAN PRETO;7898569621278;PERECIVEIS;10.69;PADARIA INDUSTRIALIZADOS;PADARIA;9.000;96.21
91662;QUEIJO RAL PRESIDENT 50G PARM;7896034680126;MERCEARIA;5.99;QUEIJO;SECA SALGADA;16.000;95.84
92198;PIPE RIGATE SODEBO 310G BOLONHESA;7898666220251;PERECIVEIS;15.90;LATICINIOS E MASSAS;P.A.S.;6.000;95.40
99257;SALSA KITANO 8G DESIDRAT;7891095154630;MERCEARIA;3.79;MERCEARIA COMPLEMENTAR;SECA SALGADA;24.000;90.96
8929;COXINHA FGO SO COMER 300G;7898035240125;PERECIVEIS;17.99;CONGELADOS;P.A.S.;5.000;89.95
66782;CHOC GAROTO 16G BATON LEITE;78912359;MERCEARIA;1.70;BOMBONIERE;SECA DOCE;52.000;88.40
60375;OLEO COCO QUALICOCO 200ML VD EXT VIRG;7896552901307;MERCEARIA;21.90;AZEITES E OLEO COMPOSTO;SECA SALGADA;4.000;87.60
68262;LAVA ROUPA ARIEL 1,2L TOQUE DOWNY;7500435115827;MERCEARIA;28.90;LIMPEZA ROUPA;LIMPEZA E DESCARTAVEIS;3.000;86.70
101207;CHINELO HAVAIANAS TOP AZUL NAVAL *41/42;7890557722257;BAZAR;28.90;CALCADOS;ACESSORIOS E CALCADO;3.000;86.70
101723;COQUETEL COROTE 500ML LIMAO;7896547501178;MERCEARIA;5.39;ALCOOLICOS;LIQUIDA;16.000;86.24
26629;FOLHADO FORNO DE MINAS 240G FGO;7896074600535;PERECIVEIS;11.89;CONGELADOS;P.A.S.;7.000;83.23
34799;PENNE MAIS LEVE 300G 4QJOS;7898527430508;PERECIVEIS;13.69;CONGELADOS;P.A.S.;6.000;82.14
94;BROTO BROTTAR 115G UN ALFAFA;7897699100011;PERECIVEIS;15.30;FOLHAGENS E PROCESS;FLV;5.000;76.50
