SKU;Produto;EH 1º Nível;EH 2º Nível;EH 3º Nível;Estoque
73535;SUCO SUVALAN 1L S/ACUC ABACAXI;MERCEARIA;LIQUIDA;NAO ALCOOLICOS;12.000
69759;PRESERVATIVO PRUDENCE 9G CAFE;MERCEARIA;PERFUMARIA;CUIDADO COM CORPO;20.000
3102;CEREAL NATURALE 75G MORANG/CHOC;MERCEARIA;SECA DOCE;CEREAIS E SAUDAVEIS;43.000
87245;KETCHUP HEINZ 1,033KG;MERCEARIA;SECA SALGADA;MERCEARIA COMPLEMENTAR;5.000
39955;SHAMPOO DOVE 200ML BABY ENRIQ;MERCEARIA;PERFUMARIA;CUIDADOS INFANTIL;6.000
94767;CHA CRISTAL CHA 40G P/INFUSAO GRANE DETOX;MERCEARIA;SECA DOCE;CEREAIS E SAUDAVEIS;12.000
103112;SNACK PIRAQUE 60G BATATA ORIG;MERCEARIA;SECA SALGADA;SALGADINHOS E APERITIVOS;20.000
89463;ESM COLORAMA 8ML CREMOSO PETALA BRANCA;MERCEARIA;PERFUMARIA;CUIDADO COM CORPO;15.000
104692;CHOC NEUGEBAUER 32G STICKS NAPOLITANO;MERCEARIA;SECA DOCE;BOMBONIERE;49.000
100314;ADOCANTE ADOCYL 80ML LIQ STEVIA;MERCEARIA;SECA DOCE;CEREAIS E SAUDAVEIS;12.000
3349;ADOCANTE ADOCYL 100ML LIQ;MERCEARIA;SECA DOCE;CEREAIS E SAUDAVEIS;24.000
20722;FILTRO PAPEL MELITTA AROMA 103 C/30;MERCEARIA;SECA COMMODITIES;CAFE;19.000
105329;BISC DUX 300G ORIG SALTED;MERCEARIA;SECA DOCE;BISCOITOS;10.000
84947;LINHACA GRINGS 200G SEMENTE INT. MARROM;MERCEARIA;SECA DOCE;CEREAIS E SAUDAVEIS;12.000
69211;CHOC DR OETKER 100G SACHE DECORFEST;MERCEARIA;SECA DOCE;DOCES E SOBREMESAS;18.000
11417;SARDINHA GDC 125G C/ MOLHO TOMATE;MERCEARIA;SECA SALGADA;MERCEARIA COMPLEMENTAR;14.000
5788;BISC ZEZE 200G MINIDITOS BANANA CANELA;MERCEARIA;SECA DOCE;BISCOITOS;18.000
66782;CHOC GAROTO 16G BATON LEITE;MERCEARIA;SECA DOCE;BOMBONIERE;62.000
71304;DES DOVE 150ML AERO FEM POWDER SOFT;MERCEARIA;PERFUMARIA;CUIDADO COM CORPO;5.000
93022;KEEP COOLER CLASSIC 275ML PINA COLADA;MERCEARIA;LIQUIDA;ALCOOLICOS;12.000
91642;SHAMPOO DOVE 200ML BABY HID GLICERINADA;MERCEARIA;PERFUMARIA;CUIDADOS INFANTIL;5.000
74595;GELATINA DR OETKER 20G ABACAXI;MERCEARIA;SECA DOCE;DOCES E SOBREMESAS;52.000
91662;QUEIJO RAL PRESIDENT 50G PARM;MERCEARIA;SECA SALGADA;QUEIJO;16.000
81523;SNACK QUITANDA 50G CHURRASCO;MERCEARIA;SECA SALGADA;SALGADINHOS E APERITIVOS;51.000
63107;MOLHO ODERICH 340G TRAD;MERCEARIA;SECA SALGADA;MERCEARIA COMPLEMENTAR;51.000
101723;COQUETEL COROTE 500ML LIMAO;MERCEARIA;LIQUIDA;ALCOOLICOS;16.000
5475;BEBIDA LACTEA NESTLE 280ML NESTON;MERCEARIA;LIQUIDA;BEBIDAS LACTEAS;12.000
105753;AGUA MIN MORMAII 510ML S/GAS;MERCEARIA;LIQUIDA;NAO ALCOOLICOS;86.000
34288;GOMA MASCAR MENTOS 8,5G PURE FRESH MINT;MERCEARIA;SECA DOCE;BOMBONIERE;29.000
104791;MOLHO TOMATE CAJAMAR 300G REFOG TRAD;MERCEARIA;SECA SALGADA;MERCEARIA COMPLEMENTAR;36.000
94331;CHOC NESTLE 29G COELHO KITKAT;MERCEARIA;SECA DOCE;SAZONAIS;15.000
104897;CROISSANT EXCELSIOR 90G TRI CHOC;PERECIVEIS;P.A.S.;CONGELADOS;7.000
80248;CREME DENT SENSODYNE 90G ORIG;MERCEARIA;PERFUMARIA;HIGIENE ORAL;5.000
24145;COLA LOCTITE 3G SUPER BONDER ORIG;BAZAR;ARRUMACAO E FVM;FACA VOCE MESMO;8.000
68328;DES REXONA 150ML AERO MASC ANTIB INVIS MEN;MERCEARIA;PERFUMARIA;CUIDADO COM CORPO;4.000
19215;*ESC DENT COLGATE 360 C/2 LUMINOUS WHITE;MERCEARIA;PERFUMARIA;HIGIENE ORAL;2.000
100034;BARRA FRUTA SUPINO 24G ZR COB CHOC LEITE BANANA;MERCEARIA;SECA DOCE;CEREAIS E SAUDAVEIS;41.000
105840;*PANETTONE GROSS 400G CHOC;MERCEARIA;SECA DOCE;SAZONAIS;7.000
98982;LINHACA APTI 150G SEMENTE DOURAD;MERCEARIA;SECA DOCE;CEREAIS E SAUDAVEIS;6.000
95101;*CERV BRAHMA 350ML DUP MALTE SLEEK;MERCEARIA;LIQUIDA;CERVEJAS;24.000
9760;COPO MINAPLAST C/50 300ML CHOOP 01045;BAZAR;DESCARTAVEIS;DESCARTAVEIS DA CASA;5.000
21289;LEITE STA CLARA 1L PAST INT;PERECIVEIS;P.A.S.;LEITE LONGA VIDA;16.000
34799;PENNE MAIS LEVE 300G 4QJOS;PERECIVEIS;P.A.S.;CONGELADOS;5.000
2808;AGUA MIN SARANDI 500ML S/GAS;MERCEARIA;LIQUIDA;NAO ALCOOLICOS;62.000
87303;WHEY PIRACANJUBA 250ML ZR BAUN;MERCEARIA;SECA DOCE;CEREAIS E SAUDAVEIS;8.000
19449;MOLHO PREDILECTA 240G TRES QUEIJOS;MERCEARIA;SECA SALGADA;MERCEARIA COMPLEMENTAR;8.000
98530;CARNE SUINA LETAVO KG COST TEMP RESF;PERECIVEIS;ACOUGUE;SUINO RESFRIADO;2.000
94231;COBERTURA OETKER 190G CHOC;MERCEARIA;SECA DOCE;DOCES E SOBREMESAS;5.000
19032;SHAMPOO JOHNSON 200ML BABY CHEIRIN;MERCEARIA;PERFUMARIA;CUIDADOS INFANTIL;3.000
